韓劇名稱,類型,演員名稱,發行年份,圖片,預告
雪降花,動作愛情,丁海寅、智秀、張勝祖、劉寅娜,2021,https://a.ksd-i.com/a/2021-12-05/138773-926685.jpeg,https://www.youtube.com/watch?v=YYH1-DqJa7o
衣袖紅鑲邊,古裝愛情,李俊昊、李世榮、姜勳、李德華、朴志暎、張熙軫,2021,https://a.ksd-i.com/a/2021-10-14/137944-921722.jpg,https://www.youtube.com/watch?v=KW_4r6ZoQy4
五月的青春,愛情,李到晛、高旻示、李相二、琴世祿,2021,https://news.agentm.tw/wp-content/uploads/官方正式海報-4-1-750x500.jpg,https://www.youtube.com/watch?v=86y5ePeLat8
機智的醫生生活,愛情喜劇日常,曹政奭、柳演錫、鄭敬淏、金大明、田美都,2020,https://storage.googleapis.com/www-cw-com-tw/article/202004/article-5e9962b7ccc53.jpg,https://www.youtube.com/watch?v=mEB1yNzb9mo
非常律師禹英禑,喜劇愛情日常,朴恩斌、姜泰伍、姜其永,2022,https://a.ksd-i.com/a/2022-08-20/142937-951807.jpg,https://www.youtube.com/watch?v=rzqCypKbE7Y
惡之花,犯罪愛情懸疑,李準基、文彩元、張熙軫、徐賢宇,2020,https://a.ksd-i.com/a/2020-06-03/127239-844836.jpg,https://www.youtube.com/watch?v=z7ciW-ja4K4
驅魔麵館,動作喜劇,趙炳圭、金世正、劉俊相、廉惠蘭,2020,https://a.ksd-i.com/a/2022-10-12/143841-955867.jpg,https://www.bilibili.com/video/BV1Po4y1o7hV/?vd_source=837557f46cc6b53387ed6c4c3eed2c81
雖然是精神病但沒關係,愛情喜劇奇幻,金秀賢、徐睿知、吳正世、朴珪瑛,2020,https://d189djjbmcrkk.cloudfront.net/tinymce/3BCtribClaC1Nu3cZbdefSEMMdsbwTWmhR8L3qsc.jpeg,https://www.youtube.com/watch?v=rMDl0QJNDKY
屍戰朝鮮,古裝奇幻動作驚悚,朱智勛、柳承龍、裴斗娜,2020,https://www.dramaqueen.com.tw/images/video_poster/2020/20200215173957325651f27599fc9d89d80b751513155f3bb0.jpeg,https://www.youtube.com/watch?v=dscGjaJ46h4
女神降臨,校園愛情日常,文佳煐、車銀優、黃寅燁、朴柔娜,2020,https://www.dramaqueen.com.tw/images/video_poster/2020/2020120217093641092896ac3a55b725efa68ed2e3d48bca96.jpg,https://www.youtube.com/watch?v=K6XPB-xxUn4
黑道律師文森佐,喜劇犯罪,宋仲基、全汝彬、玉澤演、劉宰明、金麗珍、郭東延、趙漢哲,2021,https://img.ddm.com.tw/2021/04/1619297725-6d6e95186c5f9244c158289bbbf65a8f.jpeg,https://www.youtube.com/watch?v=xSA_l2m_kUQ
機智醫生生活2,愛情喜劇日常,曹政奭、柳演錫、鄭敬淏、金大明、田美都,2021,https://im.marieclaire.com.tw/m800c533h100b0/assets/mc/202105/60ADF3C22F8021622012866.jpeg,https://www.youtube.com/watch?v=ZF5IBlVL7f0
Mouse,動作犯罪驚悚,李昇基、李熙俊、朴柱炫、景收真,2021,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/f637497689666905146.jpg,https://www.youtube.com/watch?v=GusEizTyVls&t=1s
紙房子：韓國篇,犯罪動作,劉智泰、全鐘瑞、朴海秀、金侖珍,2022,https://www.dramaqueen.com.tw/images/video_poster/2022/2022062014402052509e415ea81105a3ab4c9c3eea174a1012.jpg,https://www.youtube.com/watch?v=s4tQyPOcFS4
夫婦的世界,狗血,金喜愛、朴海俊、韓韶禧,2020,https://cdn.hk01.com/di/media/images/4315713/org/350df00706122f2ffb5e32c89e2436f4.jpg/cqc0M6mRPuwnqvZ3SUy85HLHgkljodIIgxukkoMbpJI?v=w1920,https://www.youtube.com/watch?v=qj9MXneGM-8
